trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
166,False,"{'a': 0.5, 'e': 0.43604928632153556}",30,1,-69.50875489457997,"{0: 23, 1: 2, 2: 1, 3: 2, 4: 1}",1
167,False,"{'a': 0.5, 'e': 0.4338744814329909}",20,7,-32.84209228633779,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
168,False,"{'a': 0.5, 'e': 0.43171052342907973}",25,16,16.340771874414493,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.42955735821073915}",20,7,-60.57156213755005,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 2}",1
170,False,"{'a': 0.5, 'e': 0.4274149319487267}",35,21,1.9865455965037144,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.42528319108227414}",20,0,-93.23146558594075,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
172,False,"{'a': 0.5, 'e': 0.4231620823177488}",20,0,-41.848899365459225,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
173,False,"{'a': 0.5, 'e': 0.4210515526273212}",30,19,17.643473950646882,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.418951549247639}",25,10,-2.0634421240159684,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.4168620196785084}",20,14,10.671455854778332,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.4147829116815814}",30,0,-6.629618905173909,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
177,False,"{'a': 0.5, 'e': 0.4127141732790497}",25,17,-8.170865293962933,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.4106557527523455}",20,11,-19.621326821573177,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.40860759864084845}",25,11,-40.16564626964129,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
180,False,"{'a': 0.5, 'e': 0.4065696597405991}",30,7,-73.31045945122828,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 1}",1
181,False,"{'a': 0.5, 'e': 0.4045418851030188}",30,18,0.49160367703087204,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
